"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11934","AddNewWorkoutBikeTest","","Sun Aug 25 15:03:20 MSK 2024","passed","Sun Aug 25 15:03:32 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","8316","AauthorizationCheckTest","","Sun Aug 25 15:02:27 MSK 2024","passed","Sun Aug 25 15:02:35 MSK 2024","","FinalsurgeTestsProject.Tests.Tests","FinalsurgeTestsProject.Tests.Tests",""
"","15493","AddNewWorkoutTest(""recoveryRehub"",""recoveryRehub"",""recoveryRehub description"")","","Sun Aug 25 15:05:32 MSK 2024","passed","Sun Aug 25 15:05:47 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","11375","AddNewWorkoutTest(""bike"",""bike workout"",""riding description"")","","Sun Aug 25 15:03:56 MSK 2024","passed","Sun Aug 25 15:04:08 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","13402","AddNewWorkoutSwimTest","","Sun Aug 25 15:03:43 MSK 2024","passed","Sun Aug 25 15:03:56 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","11146","AddNewWorkoutTest(""transition"",""transition"",""transition description"")","","Sun Aug 25 15:06:04 MSK 2024","passed","Sun Aug 25 15:06:15 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","9253","OpenAddWorksPageTest","","Sun Aug 25 15:02:35 MSK 2024","passed","Sun Aug 25 15:02:44 MSK 2024","","FinalsurgeTestsProject.Tests.Tests","FinalsurgeTestsProject.Tests.Tests",""
"","10193","OpenCalendarByButtonTest","","Sun Aug 25 15:02:44 MSK 2024","passed","Sun Aug 25 15:02:55 MSK 2024","","FinalsurgeTestsProject.Tests.Tests","FinalsurgeTestsProject.Tests.Tests",""
"","16817","AddNewWorkoutTest(""other"",""other"",""other description"")","","Sun Aug 25 15:05:47 MSK 2024","passed","Sun Aug 25 15:06:04 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","18684","AddNewWorkoutTest(""strenghTraining"",""strenghTraining"",""strenghTraining description"")","","Sun Aug 25 15:05:13 MSK 2024","passed","Sun Aug 25 15:05:32 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","11252","AddNewWorkoutTest(""swim"",""swim workout"",""swimming description"")","","Sun Aug 25 15:04:20 MSK 2024","passed","Sun Aug 25 15:04:32 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","10706","OpenDailyVitalsPageTest","","Sun Aug 25 15:02:55 MSK 2024","passed","Sun Aug 25 15:03:05 MSK 2024","","FinalsurgeTestsProject.Tests.Tests","FinalsurgeTestsProject.Tests.Tests",""
"","15825","AddNewWorkoutTest(""restDay"",""restDay"",""restDay description"")","","Sun Aug 25 15:04:57 MSK 2024","passed","Sun Aug 25 15:05:13 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","11614","AddNewWorkoutTest(""crossTraining"",""crossTraining workout"",""crossTraining description"")","","Sun Aug 25 15:04:32 MSK 2024","passed","Sun Aug 25 15:04:43 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","13962","AddNewWorkoutTest(""walk"",""walk workout"",""walking description"")","","Sun Aug 25 15:04:43 MSK 2024","passed","Sun Aug 25 15:04:57 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","10730","AddNewWorkoutRunTest","","Sun Aug 25 15:03:32 MSK 2024","passed","Sun Aug 25 15:03:43 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","12475","AddNewWorkoutTest(""run"",""run workout"",""running description"")","","Sun Aug 25 15:04:08 MSK 2024","passed","Sun Aug 25 15:04:20 MSK 2024","","FinalsurgeTestsProject.Tests.WorkoutTests","FinalsurgeTestsProject.Tests.WorkoutTests",""
"","15118","OpenTrainingCalendarPageTest","","Sun Aug 25 15:03:05 MSK 2024","passed","Sun Aug 25 15:03:20 MSK 2024","","FinalsurgeTestsProject.Tests.Tests","FinalsurgeTestsProject.Tests.Tests",""
